Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF/50V,R_0603_1608Metric,138.430000,-89.027000,270.000000,top
C2,0.1uF/50V,R_0603_1608Metric,136.525000,-89.027000,270.000000,top
C3,0.1uF/50V,R_0603_1608Metric,136.525000,-92.303500,270.000000,top
R1,0.02R/2W,R_2512_6332Metric,128.270000,-90.805000,90.000000,top
U1,INA213 (50V/V),SOT-363_SC-70-6,133.561800,-89.027000,180.000000,top
U2,INA213 (50V/V),SOT-363_SC-70-6,133.604000,-92.202000,180.000000,top
